,symbol,fund_return_ytd,average_annual_fund_return_for_1_year,average_annual_fund_return_for_3_year,average_annual_fund_return_for_5_year,average_annual_fund_return_for_10_year,average_annual_fund_return_since_inception,benchmark_return_ytd,average_annual_benchmark_return_for_1_year,average_annual_benchmark_return_for_3_year,average_annual_benchmark_return_for_5_year,average_annual_benchmark_return_for_10_year,average_annual_benchmark_return_since_inception
323,VCSH,0.0422,0.0428,-0.0062,0.0209,0.0182,0.0243,0.0425,0.0439,-0.0057,0.0218,0.0194,0.0259
324,VBLLX,-0.0071,-0.0258,-0.1109,0.0024,0.0236,0.0422,-0.0072,-0.0209,-0.1103,0.0032,0.0238,0.042
325,VSMVX,0.0126,-0.0535,0.0823,0.0575,,0.0718,0.0131,-0.053,0.083,0.0573,0.0699,0.0718
326,VGT,0.4555,0.3396,0.1215,0.2156,0.196,0.1276,0.4544,0.3377,0.1226,0.2165,0.1973,0.1291
327,VENAX,0.0017,-0.0376,0.3897,0.1008,0.0299,0.0692,0.0026,-0.0367,0.3911,0.1014,0.031,0.069
328,VFISX,0.021,0.0206,-0.0117,0.0094,0.0074,0.034,0.0276,0.0279,-0.0133,0.011,0.0092,0.0364
329,VEIRX,0.0227,-0.0145,0.0985,0.0873,0.0937,0.0817,0.0095,-0.0262,0.0952,0.0779,0.0908,0.0809
330,BNDW,0.0359,0.0182,-0.0396,0.0064,,0.0059,0.0352,0.0203,-0.039,0.007,,0.0066
331,VPALX,0.0408,0.0398,-0.0117,0.0232,0.0332,0.0402,0.0408,0.0435,-0.0104,0.0221,0.0295,0.0408
332,VTC,0.0421,0.0317,-0.046,0.0198,,0.0101,0.0401,0.0355,-0.0451,0.0206,0.025,0.0111
333,VGELX,0.0805,0.0475,0.2081,0.0371,0.0051,0.0748,0.0164,-0.0073,0.1459,-0.0053,-0.0139,0.0454
334,VSCIX,0.072,0.0082,0.0375,0.07,0.0766,0.0851,0.0708,0.0071,0.037,0.0695,0.0763,0.0834
335,VFORX,0.1288,0.0869,0.0379,0.0759,0.0722,0.0697,0.1306,0.0949,0.0409,0.0803,0.0755,0.072
336,VTEAX,0.038,0.0361,-0.0093,0.0198,,0.0208,0.0387,0.0374,-0.0082,0.0203,0.0269,0.0213
337,VTV,0.0408,0.006,0.1012,0.0852,0.0941,0.0822,0.0396,0.0047,0.1012,0.085,0.0944,0.0825
338,VIIGX,0.0158,0.0084,-0.0402,0.0063,0.0097,0.0186,0.0144,0.0088,-0.0398,0.0069,0.0103,0.0192
339,VTTVX,0.0977,0.0647,0.0159,0.0577,0.0579,0.0633,0.0996,0.0722,0.0194,0.0622,0.0612,0.0655
340,VTPSX,0.0995,0.0756,0.0204,0.0527,0.0375,0.0463,0.1009,0.0952,0.0201,0.0538,0.0378,0.0463
341,VBTLX,0.0193,0.0132,-0.0447,0.0074,0.0135,0.0314,0.0178,0.0132,-0.0446,0.0079,0.014,0.0327
342,VBPIX,0.0801,0.0279,-0.0499,0.1359,,0.1271,0.166,0.1201,0.0569,0.0907,0.076,0.0737
343,VITPX,0.1969,0.1266,0.0818,0.1172,0.1119,0.0829,0.1961,0.1259,0.0814,0.1169,0.1116,0.0823
344,VTBIX,-0.0164,0.0338,-0.032,0.0047,0.0132,0.0244,-0.0162,0.0348,-0.0311,0.0063,0.0146,0.0261
345,VTIAX,0.0991,0.075,0.02,0.0523,0.0371,0.0449,0.1009,0.0952,0.0201,0.0538,0.0378,0.0454
